models,test accuracy,training accuracy,test precision,test recall,test fscore,test auc
"0,1,5,6,7",0.6666666666666666,0.6,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.6607142857142857
"0,2,3,5,6",0.6666666666666666,0.6,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.6607142857142857
"0,2,4,5,6",0.6666666666666666,0.6,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.6607142857142857
"0,3,5,6,7",0.6666666666666666,0.6,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.6607142857142857
"0,3,4,6,7",0.6666666666666666,0.7,0.7,0.5,0.5833333333333334,0.65625
"1,5,6,7,8",0.6666666666666666,0.7,0.7,0.5,0.5833333333333334,0.65625
"2,3,5,6,8",0.6666666666666666,0.6,0.7,0.5,0.5833333333333334,0.65625
"3,5,6,7,8",0.6666666666666666,0.6,0.7,0.5,0.5833333333333334,0.65625
"3,5,7,8,9",0.6666666666666666,0.8,0.7,0.5,0.5833333333333334,0.65625
"0,2,3,4,8",0.6666666666666666,0.6,0.75,0.42857142857142855,0.5454545454545454,0.6517857142857143
"0,3,4,7,8",0.6666666666666666,0.6,0.75,0.42857142857142855,0.5454545454545454,0.6517857142857143
"2,3,6,8,9",0.6666666666666666,0.8,0.75,0.42857142857142855,0.5454545454545454,0.6517857142857143
"1,2,3,5,7",0.6333333333333333,0.6,0.5714285714285714,0.8571428571428571,0.6857142857142857,0.6473214285714286
"0,3,6,8,9",0.6666666666666666,0.6,1.0,0.2857142857142857,0.4444444444444444,0.6428571428571428
"0,4,6,7,8",0.6666666666666666,0.7,1.0,0.2857142857142857,0.4444444444444444,0.6428571428571428
"1,2,5,6,7",0.6333333333333333,0.7,0.5789473684210527,0.7857142857142857,0.6666666666666666,0.6428571428571428
"0,2,5,7,9",0.6333333333333333,0.7,0.5882352941176471,0.7142857142857143,0.6451612903225806,0.6383928571428572
"1,2,6,7,9",0.6333333333333333,0.7,0.5882352941176471,0.7142857142857143,0.6451612903225806,0.6383928571428572
"0,1,2,3,5",0.6333333333333333,0.7,0.6,0.6428571428571429,0.6206896551724138,0.6339285714285714
"0,2,3,5,9",0.6333333333333333,0.7,0.6,0.6428571428571429,0.6206896551724138,0.6339285714285714
"2,3,5,6,9",0.6333333333333333,0.6,0.6,0.6428571428571429,0.6206896551724138,0.6339285714285714
"3,4,5,7,9",0.6333333333333333,0.8,0.6,0.6428571428571429,0.6206896551724138,0.6339285714285714
"0,1,2,5,6",0.6333333333333333,0.6,0.6153846153846154,0.5714285714285714,0.5925925925925926,0.6294642857142857
"1,5,6,7,9",0.6333333333333333,0.7,0.6153846153846154,0.5714285714285714,0.5925925925925926,0.6294642857142857
"2,3,4,6,9",0.6333333333333333,0.8,0.6153846153846154,0.5714285714285714,0.5925925925925926,0.6294642857142857
"2,6,7,8,9",0.6333333333333333,0.7,0.6153846153846154,0.5714285714285714,0.5925925925925926,0.6294642857142857
"0,2,3,6,9",0.6333333333333333,0.7,0.6363636363636364,0.5,0.56,0.625
