,encoding,test accuracy,training accuracy,combined accuracy,test precision,test recall,test fscore,test auc,training time
0,"18,18,18,10,15,13,14,18,13,11,6,12,0,9,10",0.54,0.83,0.6125,0.5370370370370371,0.58,0.5576923076923077,0.54,8.007941722869873
0,"13,15,13,11,5,19,4,0,2,0,8,15,8,22,11",0.58,0.71,0.6124999999999999,0.5634920634920635,0.71,0.6283185840707964,0.58,5.286232948303223
0,"19,12,17,13,6,10,21,11,10,3,10,9,5,13,7",0.535,0.84,0.61125,0.5309734513274337,0.6,0.5633802816901409,0.5349999999999999,8.915106773376465
0,"19,15,16,11,19,19,4,0,11,0,8,5,20,0,11",0.535,0.83,0.60875,0.5299145299145299,0.62,0.5714285714285714,0.535,15.620315313339233
0,"13,19,15,12,22,12,16,12,16,6,17,19,15,10,2",0.585,0.68,0.6087499999999999,0.8695652173913043,0.2,0.3252032520325203,0.585,5.521593332290649
0,"19,12,17,13,13,18,15,6,19,5,5,11,3,10,5",0.575,0.7,0.60625,0.546583850931677,0.88,0.6743295019157088,0.575,5.876780271530151
0,"15,14,5,4,16,12,19,9,16,19,15,14,16,10,13",0.545,0.78,0.60375,0.5260115606936416,0.91,0.6666666666666666,0.545,5.111301422119141
0,"19,14,0,4,4,12,19,9,16,19,15,14,16,23,13",0.565,0.71,0.60125,0.5747126436781609,0.5,0.5347593582887701,0.565,7.182959079742432
0,"18,6,13,10,15,16,16,18,13,21,12,8,3,9,7",0.59,0.62,0.5975,0.6216216216216216,0.46,0.5287356321839081,0.59,4.974005937576294
0,"14,16,5,4,16,12,19,9,13,19,15,6,16,15,10",0.535,0.78,0.59625,0.5327102803738317,0.57,0.5507246376811594,0.5349999999999999,4.59557032585144
0,"13,14,15,12,22,12,16,12,16,6,18,19,15,10,5",0.57,0.67,0.595,0.6060606060606061,0.4,0.4819277108433735,0.5700000000000001,6.613145112991333
0,"19,12,17,13,13,18,15,6,19,5,10,11,3,8,5",0.56,0.7,0.595,0.5566037735849056,0.59,0.5728155339805825,0.56,5.766879081726074
0,"13,14,15,12,22,12,16,12,16,6,17,19,15,10,2",0.545,0.73,0.5912499999999999,0.5428571428571428,0.57,0.5560975609756098,0.5449999999999999,5.290172100067139
0,"13,16,16,19,5,19,4,0,13,0,8,5,20,0,0",0.555,0.69,0.5887499999999999,0.5307262569832403,0.95,0.6810035842293907,0.5549999999999999,8.7860586643219
0,"0,5,17,18,6,18,9,14,9,15,17,9,17,18,10",0.535,0.74,0.5862499999999999,0.5228758169934641,0.8,0.6324110671936759,0.535,6.653171062469482
0,"13,14,15,12,22,12,16,12,5,6,18,19,15,10,5",0.58,0.6,0.5850000000000001,0.6290322580645161,0.39,0.48148148148148145,0.5800000000000001,6.436055421829224
0,"17,16,0,4,20,12,19,9,10,19,15,20,1,7,13",0.555,0.67,0.58375,0.5333333333333333,0.88,0.6641509433962264,0.555,4.85567045211792
0,"19,15,17,13,6,22,15,19,13,5,2,11,3,12,22",0.53,0.74,0.5825,0.5294117647058824,0.54,0.5346534653465347,0.53,6.372893333435059
0,"17,16,5,4,20,12,19,9,10,19,15,20,1,7,13",0.565,0.63,0.5812499999999999,0.5393939393939394,0.89,0.6716981132075471,0.565,5.067353248596191
0,"19,15,13,11,5,19,4,0,11,0,4,5,20,0,12",0.545,0.64,0.56875,0.5243243243243243,0.97,0.6807017543859649,0.5449999999999999,5.152846813201904
0,"14,16,18,18,4,12,19,3,16,19,15,0,16,8,13",0.485,0.82,0.56875,0.42105263157894735,0.08,0.13445378151260504,0.485,7.267459869384766
0,"19,10,17,13,13,18,16,6,13,21,2,11,3,8,5",0.485,0.81,0.56625,0.48936170212765956,0.69,0.5726141078838174,0.485,8.329787969589233
0,"14,14,18,4,4,12,19,3,13,19,15,0,16,15,10",0.58,0.51,0.5625,0.7105263157894737,0.27,0.391304347826087,0.5800000000000001,4.828158378601074
0,"13,14,15,12,22,12,16,13,16,6,18,19,15,10,2",0.51,0.72,0.5625,0.5079365079365079,0.64,0.5663716814159292,0.51,7.356258153915405
0,"4,14,18,4,16,12,19,9,16,19,15,0,16,10,13",0.515,0.66,0.55125,0.5086705202312138,0.88,0.6446886446886447,0.515,5.244441986083984
0,"15,4,17,12,19,2,6,5,15,8,22,10,12,7,12",0.54,0.58,0.55,0.6428571428571429,0.18,0.28125,0.54,4.858438491821289
0,"15,14,5,4,16,12,19,9,16,19,15,14,16,14,13",0.505,0.65,0.54125,0.503030303030303,0.83,0.6264150943396226,0.505,5.02983832359314
0,"19,15,16,12,5,19,4,0,11,0,8,5,20,0,11",0.48,0.7,0.5349999999999999,0.4866666666666667,0.73,0.584,0.48,5.209770917892456
0,"13,14,15,12,22,12,16,13,16,6,18,19,15,10,5",0.525,0.51,0.52125,0.6923076923076923,0.09,0.1592920353982301,0.525,6.535744667053223
0,"14,16,18,18,4,12,19,9,16,19,15,0,16,15,13",0.48,0.62,0.515,0.4583333333333333,0.22,0.2972972972972973,0.48,6.524442911148071
0,"13,19,15,12,22,12,16,12,16,6,17,19,15,10,5",0.5,0.55,0.5125,0.0,0.0,0.0,0.5,5.123261213302612
0,"13,14,15,12,22,12,16,12,16,6,18,19,15,4,5",0.52,0.48,0.51,0.510989010989011,0.93,0.6595744680851063,0.52,6.590983629226685
0,"13,19,15,12,12,12,19,4,16,6,17,19,15,10,2",0.51,0.49,0.505,1.0,0.02,0.0392156862745098,0.51,6.162958145141602
0,"13,19,15,12,12,12,16,4,16,6,17,19,15,10,2",0.505,0.5,0.50375,1.0,0.01,0.019801980198019802,0.505,5.723846435546875
0,"14,16,18,18,4,12,19,9,16,19,15,0,16,8,13",0.505,0.5,0.50375,1.0,0.01,0.019801980198019802,0.505,6.239522457122803
0,"14,16,14,4,4,12,19,3,13,19,15,6,16,15,10",0.445,0.68,0.5037499999999999,0.460431654676259,0.64,0.5355648535564853,0.445,5.1364524364471436
0,"19,14,0,4,4,12,19,3,16,19,15,14,16,23,0",0.5,0.5,0.5,0.0,0.0,0.0,0.5,6.803760051727295
